INT_NO,RUE_1,RUE_2,NO_ARRONDISSEMENT,ARRONDISSEMENT,PERMANENT_OU_TEMPORAIRE,LOC_X,LOC_Y,Longitude,Latitude
1322,"Sherbrooke","15400 Est (C.I.P.)",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",304917.7,5060924.5,-73.498489,45.688207
1323,"Chatelain","Rosemont",3,"Rosemont - Petite-Patrie","Permanent",299967.265,5048416.1365,-73.561922,45.575637
1324,"1 e Avenue","Saint-Zotique",3,"Rosemont - Petite-Patrie","Permanent",297475.783,5045786.385,-73.593806,45.551952
1325,"La Rousselière","Montigny",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",304829.31,5058728.646,-73.499624,45.668448
1326,"René-Lévesque","Saint-Jean-Baptiste",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",304766.3225,5055747.3335,-73.500432,45.641622
1327,"3 e Avenue","Notre-Dame",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305368.943,5055018.465,-73.492702,45.635063
1328,"8 e Avenue","Notre-Dame",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305499.394,5055372.629,-73.491029,45.63825
1329,"16 e Avenue","Notre-Dame",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305596.791,5055948.134,-73.489778,45.643428
1330,"26 e Avenue","Notre-Dame",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305623.165,5056911.283,-73.489438,45.652095
1331,"32 e Avenue","Notre-Dame",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305472.144,5057317.948,-73.491376,45.655754
1332,"43 e Avenue","Notre-Dame",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305279.803,5058189.031,-73.493843,45.663592
1333,"53 e Avenue","Notre-Dame",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305263.777,5058952.088,-73.494048,45.670459
1334,"57 e Avenue","Notre-Dame",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305316.043,5059245.159,-73.493376,45.673096
1335,"81 e Avenue","Notre-Dame",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305622.505,5061016.339,-73.48944,45.689033
1336,"Notre-Dame","13926 Est (C.L.S.C.)",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305237.28,5058502.5,-73.494388,45.666413
1337,"Notre-Dame","Saint-Jean-Baptiste",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305560.3105,5055561.12,-73.490247,45.639946
1338,"18 e Avenue","Provost",15,"Lachine","Permanent",290698.64,5033572.23,-73.680254,45.44194
1339,"Notre-Dame","Tricentenaire",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",305739.9315,5056575.113,-73.487941,45.64907
1340,"Montigny","Saint-Jean-Baptiste",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",304299.292,5055856.37,-73.506423,45.642603
1341,"Allard","Dumas",8,"Sud-Ouest","Permanent",297168.291,5034498.663,-73.597569,45.450377
1342,"Allard","Laurendeau",8,"Sud-Ouest","Permanent",297797.322,5034620.024,-73.589528,45.451475
1343,"Allard","Monk",8,"Sud-Ouest","Permanent",297505.247,5034586.123,-73.593262,45.451167
1344,"Biencourt","Monk",8,"Sud-Ouest","Permanent",297282.956,5035433.068,-73.596117,45.458786
1345,"Eadie","Jolicoeur",8,"Sud-Ouest","Permanent",297715.016,5035237.616,-73.59059,45.457032
1347,"Hadley","Jolicoeur",8,"Sud-Ouest","Permanent",297533.186,5035247.057,-73.592915,45.457115
1348,"Hamilton","Jolicoeur",8,"Sud-Ouest","Permanent",297175.944,5035182.326,-73.597481,45.456529
1349,"Jacques-Hertel","Monk",8,"Sud-Ouest","Permanent",297252.834,5035545.072,-73.596504,45.459794
1351,"Jolicoeur","Monk",8,"Sud-Ouest","Permanent",297337.295,5035224.43,-73.595419,45.456909
1352,"Monk","Raudot",8,"Sud-Ouest","Permanent",297589.791,5034265.921,-73.592177,45.448287
1353,"Monk","Springland",8,"Sud-Ouest","Permanent",297421.035,5034906.283,-73.594344,45.454047
1354,"17 e Avenue","Crémazie inter. Sud",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",296771.03,5047401.5,-73.602859,45.566477
1355,"17 e Avenue","Crémazie inter. Nord",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",296730.47,5047426,-73.603379,45.566697
1356,"17 e Avenue","Jarry",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",296524.165,5047542.161,-73.606024,45.56774
1357,"Argenson","Centre",8,"Sud-Ouest","Permanent",299206.284,5037469.045,-73.571547,45.477125
1358,"Centre","Charlevoix",8,"Sud-Ouest","Permanent",299377.183,5037617.546,-73.569363,45.478463
1359,"Centre","Island",8,"Sud-Ouest","Permanent",299757.38,5037947.048,-73.564503,45.48143
1360,"Centre","Laprairie",8,"Sud-Ouest","Permanent",299654.54,5037857.182,-73.565818,45.480621
1566,"Canadiens de Montréal","Montagne",6,"Ville-Marie","Permanent",299263.049,5039554.42,-73.570845,45.495891
1568,"Parc","5647",5,"Plateau Mont-Royal","Permanent",296697.4,5042555,-73.603722,45.522866
1569,"André-Laurendeau","Rachel",3,"Rosemont - Petite-Patrie","Temporaire",299978.513,5044771.505,-73.561742,45.542841
1570,"Sherbrooke","Valois",3,"Rosemont - Petite-Patrie","Permanent",300509.087,5045629.613,-73.554955,45.550566
1572,"Laurentien","12150",1,"Ahuntsic - Cartierville","Temporaire",287645.7,5043114,-73.719612,45.527732
1573,"Saint-Antoine","Square Victoria Ouest",6,"Ville-Marie","Permanent",299961.7,5040163,-73.561912,45.501372
1574,"Hôtel-de-Ville","Saint-Antoine",6,"Ville-Marie","Permanent",300439.425,5040988.073,-73.555806,45.5088
1575,"Coolbrook","Vézina",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",293168.165,5039034.037,-73.648816,45.491133
1576,"Radisson","Radisson (Galeries d'Anjou)",4,"Mercier - Hochelaga - Maisonneuve","Permanent",301049.92,5050169.015,-73.548063,45.591416
1577,"Grenet","Louisbourg",1,"Ahuntsic - Cartierville","Permanent",288408.61,5042879.996,-73.709837,45.525645
1579,"Cedar","Pins",6,"Ville-Marie","Permanent",298128.684,5040049.561,-73.585366,45.500336
1581,"Brébeuf","Saint-Grégoire",5,"Plateau Mont-Royal","Permanent",297872.213,5043817.264,-73.588701,45.534237
1582,"Hudson","Linton",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294865.4785,5040577.83,-73.627132,45.505051
1583,"Alexandre-DeSève","Ontario",6,"Ville-Marie","Temporaire",300080,5042712.589,-73.560422,45.524315
1585,"Perras","Rodolphe-Forget",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",298643.19725,5056610.6055,-73.578991,45.649362
1587,"Notre-Dame","6363 Est (Dépôt)",4,"Mercier - Hochelaga - Maisonneuve","Permanent",303255.75,5048000,-73.519785,45.571907
1588,"Maurice-Duplessis","Rodolphe-Forget",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",299096.2335,5056000.3965,-73.573171,45.643875
1589,"Saint-Antoine","Saint-François-Xavier",6,"Ville-Marie","Permanent",300176.818,5040527.777,-73.559162,45.504656
1590,"Plamondon","Westbury",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",293581.756,5039206.572,-73.643529,45.492692
1591,"Acadie","Arthur-Lismer",1,"Ahuntsic - Cartierville","Permanent",291630.631,5043948.1605,-73.668619,45.535325
1596,"Angrignon","Autoroute 20 Est",8,"Sud-Ouest","Temporaire",294908.8,5034826.5,-73.626462,45.453298
1597,"Jean-Talon","5400 Ouest (Wal-Mart) / Jean-Louis Lévesque",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",292736.669,5039268.557,-73.654342,45.493236
1599,"Chabanel","Meilleur",1,"Ahuntsic - Cartierville","Permanent",292681.01,5044188.567,-73.655176,45.537507
1600,"Salaberry","Bretelle est A-15",1,"Ahuntsic - Cartierville","Permanent",289071,5044089.5,-73.701396,45.536544
1602,"Parc","Bretelle Pins Ouest",5,"Plateau Mont-Royal","Permanent",298602.22,5041354,-73.579323,45.512078
1603,"Acadie","Place de l'Acadie",1,"Ahuntsic - Cartierville","Permanent",290817.9805,5043774.536,-73.679019,45.533747
1605,"Champlain","Église de l'",17,"Verdun","Temporaire",298626.38,5035933.56,-73.578946,45.463303
1609,"Beaubien","Carignan/Saint-Zotique",4,"Mercier - Hochelaga - Maisonneuve","Permanent",299938.845,5049524.903,-73.562297,45.585614
1610,"Notre-Dame","3800 sortie ADM",4,"Mercier - Hochelaga - Maisonneuve","Permanent",302050.31,5044949,-73.535212,45.54445
1611,"Pins","Bretelle Parc Nord",5,"Plateau Mont-Royal","Permanent",298645.28,5041238,-73.57877,45.511035
1615,"Parc","30 m Sud de Duluth",5,"Plateau Mont-Royal","Permanent",298382.59,5041507,-73.582136,45.513453
1618,"Charon","Wellington",8,"Sud-Ouest","Permanent",300202.696,5037703.398,-73.558805,45.479241
1620,"Jean-Talon","6565 Est (Canadian Tire)",12,"Saint-Léonard","Permanent",299055.72,5050421,-73.573625,45.59367
1621,"Queen-Mary","face 3791 (stat. Oratoire St-J",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295356.06,5039238,-73.620828,45.493001
1622,"Dumesnil","Langelier",12,"Saint-Léonard","Permanent",299093.12,5050184.5,-73.573143,45.591542
1632,"Viau","7500 centre d'achats (Place Viau)",12,"Saint-Léonard","Permanent",297691.94,5048348,-73.591075,45.575004
1633,"Jarry","Lacordaire",12,"Saint-Léonard","Permanent",297635.88,5049312,-73.591807,45.583678
1636,"Langelier","7150  face IGA",12,"Saint-Léonard","Permanent",299413.19,5050084.5,-73.56904,45.590645
1637,"Langelier","7220 (Belle Province)",12,"Saint-Léonard","Permanent",299336.78,5050111.5,-73.570019,45.590888
1638,"Langelier","7700 Centre opérationnel Est",12,"Saint-Léonard","Permanent",298813.03,5050321.5,-73.576735,45.592773
1639,"Jarry","6205 Res. Émilien Gagnon",12,"Saint-Léonard","Permanent",298231.88,5050251.9,-73.584182,45.592141
1640,"Jean-Talon","4290 Est (Métro)",12,"Saint-Léonard","Permanent",297768.44,5047564,-73.590083,45.56795
1799,"Saint-Pierre","Sortie A-20 (int. Nord)",15,"Lachine","Permanent",293257.62,5033704.44,-73.647546,45.443176
1811,"La Vérendrye","Trinitaires",8,"Sud-Ouest","Permanent",297554.81,5033933,-73.592619,45.445291
1823,"Maisonneuve","Saint-Dominique",6,"Ville-Marie","Permanent",299729.47,5041238.5,-73.564895,45.511048
1865,"18 e Avenue","Rosemont",3,"Rosemont - Petite-Patrie","Permanent",298841.8116,5046438.4562,-73.576318,45.557832
1867,"Fernand-Gauthier","Perras",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",296725.063,5055022.208,-73.603574,45.63505
1869,"Coloniale","Rachel",5,"Plateau Mont-Royal","Permanent",298484.808,5042115.578,-73.580835,45.51893
1906,"Boyer","Villeray",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",295411.198,5045022.07,-73.620234,45.545049
1941,"Émile-Nelligan","Laurentien",1,"Ahuntsic - Cartierville","Permanent",287451.4,5043247,-73.722104,45.528924
1942,"Jean-Talon","Saint-Dominique",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",295631.59,5043925,-73.617391,45.535181
2006,"Saint-Laurent","Shamrock",3,"Rosemont - Petite-Patrie","Permanent",295672.156,5043794.98,-73.616869,45.534011
2008,"Bennett","Hochelaga",4,"Mercier - Hochelaga - Maisonneuve","Permanent",301270.1255,5046361.6545,-73.545214,45.557158
2021,"Christophe-Colomb","Henri-Gauthier 30 m au Nord",1,"Ahuntsic - Cartierville","Permanent",294504.072,5045936.0035,-73.63187,45.55326
2028,"Cathédrale","Notre-Dame",8,"Sud-Ouest","Permanent",299899.551,5039557.058,-73.562701,45.495919
2035,"Emery","Saint-Denis",6,"Ville-Marie","Permanent",299853.56,5041681.54,-73.563311,45.515036
2039,"Maisonneuve","Prud'Homme",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",296462.787,5036938.359,-73.60663,45.472322
2047,"Berri","De La Gauchetière",6,"Ville-Marie","Permanent",300413.659,5041458.519,-73.55614,45.513033
2086,"20 e Avenue","Beaubien",3,"Rosemont - Petite-Patrie","Permanent",298482.033,5046808.857,-73.580932,45.561162
2151,"Hochelaga","Joliette",4,"Mercier - Hochelaga - Maisonneuve","Permanent",300785,5045213,-73.551418,45.546819
2154,"Buchan","Montain-Sight",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",292808.16,5039696.5,-73.653438,45.497088
2161,"Linton","Van Horne",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294909.7,5040792.94,-73.626571,45.506987
2167,"Garnier","Saint-Grégoire",5,"Plateau Mont-Royal","Permanent",297986.794,5043992.089,-73.587236,45.535811
2179,"Saint-Jacques","Sortie A-20 (int. Nord)",15,"Lachine","Temporaire",293008.82,5033593.19,-73.650724,45.442171
2190,"Jean-Talon","Viau",12,"Saint-Léonard","Temporaire",298205.35,5048339.5,-73.584496,45.574933
2232,"Parc","Pins",5,"Plateau Mont-Royal","Permanent",298695.26,5041304.3,-73.578132,45.511632
2303,"Chomedey","Maisonneuve",6,"Ville-Marie","Permanent",298241.039,5039087.597,-73.583915,45.491681
2316,"Lucien-L'Allier","Overdale",6,"Ville-Marie","Permanent",299179.57,5039471.19,-73.571912,45.495141
2363,"Côte-des-Neiges","Swail",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295407.309,5039502.828,-73.620178,45.495385
2371,"Assomption","Sapins des",3,"Rosemont - Petite-Patrie","Permanent",300122.106,5048170.276,-73.559936,45.573426
2376,"Kent","Victoria",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",293963.376,5039441.842,-73.638651,45.494815
2386,"Bellechasse","Louis-Hémon",3,"Rosemont - Petite-Patrie","Permanent",297774.289,5045051.589,-73.589972,45.545343
2410,"Chabanel","Parc",1,"Ahuntsic - Cartierville","Permanent",292714.721,5044270.749,-73.654746,45.538247
2435,"Beaubien","Saint-Dominique",3,"Rosemont - Petite-Patrie","Permanent",296374.707,5043445.077,-73.607868,45.530871
2437,"Saint-André","Saint-Antoine",6,"Ville-Marie","Permanent",300700.69,5041575,-73.552467,45.514083
2465,"Cartier","Sainte-Catherine",6,"Ville-Marie","Permanent",300757.73,5042597.36,-73.551746,45.523282
2479,"Maurice-Duplessis","Saint-Jean-Baptiste",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",301537.341,5057714.554,-73.541867,45.659315
2523,"Forsyth","Tricentenaire",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",304162.2,5056942.75,-73.508183,45.652378
2656,"Saint-André","Viger",6,"Ville-Marie","Permanent",300642,5041613.5,-73.553219,45.514429
2699,"Chemin du Golf","Gouin",1,"Ahuntsic - Cartierville","Permanent",286915.638,5043106.3335,-73.728958,45.527645
2773,"Henri-Julien","Jarry",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",294651.81,5044607.11,-73.62995,45.541305
2796,"Henri-Bourassa","Métropolitain Est",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",303545.078,5057898.561,-73.516104,45.660978
2815,"Ozias-Leduc","Perras",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",295832.53,5054164.6,-73.615006,45.627322
2850,"Clark","Maisonneuve (int. Nord)",6,"Ville-Marie","Permanent",299600.9,5041181.97,-73.566539,45.510539
2869,"Commune de la","McGill",6,"Ville-Marie","Permanent",300668.927,5039874.43,-73.55286,45.49878
2901,"Maurice-Duplessis","Pierre-Baillargeon",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",298833.2825,5055715.565,-73.576541,45.64131
2907,"Écores","Jean-Talon",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",296751.557,5045841.879,-73.603083,45.552443
2947,"Acadie","d'Anvers",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",293793,5043198,-73.640915,45.528612
2964,"Boyer","Jarry",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",295003.95,5045283.3,-73.625454,45.547394
2973,"Mentana","Saint-Joseph",5,"Plateau Mont-Royal","Permanent",298154,5043265,-73.585085,45.52927
3007,"Saint-Denis","Sauvé",1,"Ahuntsic - Cartierville","Permanent",292552.401,5045586.753,-73.656858,45.550086
3026,"56 e Rue","Pie-IX",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",294846.925,5049185.5755,-73.627545,45.582506
3028,"Bercy","Rouen",6,"Ville-Marie","Temporaire",300520,5043998,-73.554801,45.535885
3046,"Côte-Sainte-Catherine","Davaar",13,"Outremont","Permanent",296152.98,5041593.53,-73.610674,45.514208
3052,"Mentana","Rachel",5,"Plateau Mont-Royal","Permanent",298914,5042775,-73.57535,45.524868
3060,"Boyer","Saint-Zotique",3,"Rosemont - Petite-Patrie","Permanent",296544.699,5044304.579,-73.605706,45.538608
3064,"Crescent","Sherbrooke",6,"Ville-Marie","Permanent",298595.822,5039896.996,-73.579386,45.498968
3097,"Belgrave","Saint-Jacques",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",296020,5036189,-73.612279,45.465574
3162,"Iberville","La Fontaine",6,"Ville-Marie","Permanent",300853.491,5043491.349,-73.550527,45.531328
3205,"Bercy","Hochelaga",6,"Ville-Marie","Permanent",300300.488,5044108.602,-73.557613,45.536878
3231,"Assomption","Marseille",4,"Mercier - Hochelaga - Maisonneuve","Permanent",301235.3915,5047647.5465,-73.545668,45.568728
3308,"Industriel","Pie-IX",11,"Montréal-Nord","Temporaire",294661.2795,5049342.4375,-73.629927,45.583915
3443,"Bélanger","Langelier",12,"Saint-Léonard","Permanent",299521.679,5050045.594,-73.567649,45.590296
3468,"Cousineau","Gouin",1,"Ahuntsic - Cartierville","Temporaire",287294.88,5043277.72,-73.724109,45.529197
3473,"Jean-d'Estrées / Murray","Notre-Dame",6,"Ville-Marie","Permanent",299817,5039377,-73.563755,45.494298
3527,"Papineau","Ville-Marie",6,"Ville-Marie","Permanent",301076.761,5042279.869,-73.547659,45.520427
3628,"Chabanel","Jeanne-Mance",1,"Ahuntsic - Cartierville","Permanent",292772.39,5044409.99,-73.654011,45.539501
3636,"Chambord","Saint-Joseph",5,"Plateau Mont-Royal","Permanent",298362,5043580.8,-73.582427,45.532114
3686,"Stuart","Van Horne",13,"Outremont","Permanent",295768.77,5042199.5,-73.615603,45.519656
3687,"Ontario","Wurtele",6,"Ville-Marie","Permanent",300873.488,5044060.604,-73.550276,45.53645
3720,"Beaubien","De Gaspé",3,"Rosemont - Petite-Patrie","Permanent",296449.205,5043560.079,-73.606916,45.531907
3743,"Albani","Beaubien",4,"Mercier - Hochelaga - Maisonneuve","Permanent",299899.13,5049394.83,-73.562805,45.584443
3757,"Clarence-Gagnon","Notre-Dame",4,"Mercier - Hochelaga - Maisonneuve","Permanent",303168.06,5047844,-73.520908,45.570503
3803,"Mont-Royal","Resther",5,"Plateau Mont-Royal","Temporaire",298433.32,5042851.59,-73.581504,45.525553
